,X1,DistrictNCES,FIPS,NAME,NMCBSA,CBSA,CSA,COUNTY,STATE,ST_ABBR,ses_EP_POV,ses_EP_UNEMP,ses_EP_PCI,ses_EP_NOHSDP,ses_EP_UNINSUR,ms_EP_MINRTY,ms_EP_LIMENG,hh_EP_AGE17,hh_EP_DISABL,hh_EP_SNGPNT,hh_EP_MUNIT,hh_EP_MOBILE,hh_EP_CROWD,hh_EP_NOVEH,hh_EP_GROUPQ,hh_EP_PLUMB,pm_EP_AGE65,hc_icu_capita,hc_hosp_beds_capita,hc_pqi,hc_emer_services_capita,hc_epi_capita,hc_health_labs_capita,hc_spend_capita,hc_PHEP_capita,hr_incarcerated_per_100k,hr_all_care_residents_per_100k,hr_high_risk_employees_per_100k,pd_population_density,V3_THEME1,V3_THEME2,V3_THEME3,V3_THEME4,V3_THEME5,V3_THEME6,V3_THEME7,V3_CCVI,SchoolYear,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate,school_inperson,total,status_county
199,297,1301590,13083,Dade County,"Chattanooga, TN-GA",16860,174,Dade,GEORGIA,GA,15.1,4.1,24028,20.9,12.4,6.2,0.3,18.9,17.3,5.6,1.6,21.4,2.6,6.9,8.3,2.286312935,18.1,0,217.1159761,4073,2.641606942,86,0.009418481,13174,1.5474,1109.262341,721.0205214,3038.146299,93.26954818,0.595351799,0.189748488,0.660936008,0.217446673,0.82234957,0.798153454,0.702324101,0.639923591,2020-2021,900208,Dade County School District,Public,Trenton,GA,2295,2020-08-13,Hybrid,Yes,Yes,Unknown,Unknown,Not required,Not required,Unknown,Unknown,Never closed,Yes,10/15/2020,1,1,1
200,298,1301620,13313,Dalton Public Schools,"Dalton, GA",19140,174,Whitfield,GEORGIA,GA,17.8,6.3,23271,30.6,17.5,40.9,10.1,26.4,10.9,9.5,6.8,14.4,6.5,6.2,1.3,1.587882406,13.5,32.70394275,267.9564048,5057,2.641606942,86,0.009418481,13174,1.5474,1170.930871,410.2109794,20153.2995,357.5607281,0.925183063,0.934097421,0.809614772,0.141674626,0.889843999,0.894619548,0.886341929,0.984081503,2020-2021,900237,Dalton Public Schools,Public,Dalton,GA,8230,2020-08-31,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed indefinitely,Unknown,12/30/2020,1,1,1
201,299,1301650,13085,Dawson County,"Atlanta-Sandy Springs-Alpharetta, GA",12060,122,Dawson,GEORGIA,GA,8.7,4,32646,14,11.2,7.4,0.7,21,14.8,4.3,2,10.1,2,2.1,0.7,1.403964628,19.5,0,0,4524,2.641606942,86,0.009418481,13174,1.5474,1106.407946,201.1650811,4157.411676,113.1775644,0.47277937,0.341929322,0.054441261,0.340655842,0.886341929,0.607449857,0.746577523,0.465775231,2020-2021,900245,Dawson County School District,Public,Dawsonville,GA,3632,2020-08-07,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/19/2020,1,1,1
202,300,1301680,13089,City Schools of Decatur,"Atlanta-Sandy Springs-Alpharetta, GA",12060,122,DeKalb,GEORGIA,GA,16.6,7.4,34100,11,14.8,70.9,5,23.4,10.3,10.8,22.8,0.5,2.4,8.7,1.8,0.669279737,11.5,22.82404024,238.6293717,4502,2.641606942,86,0.009418481,13174,1.5474,692.6924179,333.0252009,2651.687933,2775.929892,0.937281121,0.968799745,0.581025151,0.166825852,0.88411334,0.325055715,0.987265202,0.88475008,2020-2021,900312,City Schools of Decatur,Public,Decatur,GA,5615,2020-08-17,Online Only,No,No,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Closed indefinitely,Unknown,9/15/2020,0,0,0
203,301,1301710,13087,Decatur County,"Bainbridge, GA",12460,N,Decatur,GEORGIA,GA,25.2,5.4,20397,18.4,19.1,49.5,0.4,24.6,17.1,15.2,1.6,22.2,6.7,9,4.5,0.551559647,15.7,37.00551382,296.1317786,6506,2.641606942,86,0.009418481,13174,1.5474,1844.743413,588.8271904,2396.30306,44.93348898,0.835402738,0.612543776,0.963705826,0.381088825,0.896848138,0.695638332,0.501114295,0.894937918,2020-2021,900151,Decatur County School District,Public,Bainbridge,GA,4968,2020-08-31,Online Only,Yes,Yes,Yes,Yes,Not required,Not required,Yes,No,Never closed,Yes,10/2/2020,0,0,0
204,302,1301740,13089,DeKalb County,"Atlanta-Sandy Springs-Alpharetta, GA",12060,122,DeKalb,GEORGIA,GA,16.6,7.4,34100,11,14.8,70.9,5,23.4,10.3,10.8,22.8,0.5,2.4,8.7,1.8,0.669279737,11.5,22.82404024,238.6293717,4502,2.641606942,86,0.009418481,13174,1.5474,692.6924179,333.0252009,2651.687933,2775.929892,0.937281121,0.968799745,0.581025151,0.166825852,0.88411334,0.325055715,0.987265202,0.88475008,2020-2021,900313,DeKalb County School District,Public,Stone Mountain,GA,107530,2020-08-17,Online Only,Yes,Pending,Pending,Pending,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,12/29/2020,0,0,0
205,303,1301770,13091,Dodge County,N,N,N,Dodge,GEORGIA,GA,23.6,7.2,18921,16.8,11.3,34.7,0.7,20,18.9,10.9,1.8,33.1,2,8.8,9.9,4.818585974,16.9,28.48597066,449.5886742,5486,2.641606942,86,0.009418481,13174,1.5474,1376.73885,693.1497682,2241.980974,42.17926772,0.76408787,0.629099013,0.965297676,0.449538364,0.833174148,0.714103789,0.482967208,0.88061127,2020-2021,900192,Dodge County Schools,Public,Eastman,GA,3271,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,10/15/2020,1,1,1
206,304,1301800,13093,Dooly County,N,N,N,Dooly,GEORGIA,GA,24.6,12.5,20259,24.8,16.2,57.4,1.7,18.2,21.2,8.7,0.7,28.7,1.6,10.3,9.5,3.74685365,18.4,0,0,7056,2.641606942,86,0.009418481,13174,1.5474,1085.940309,517.7993528,1725.997843,35.41498765,0.986628462,0.872015282,0.853231455,0.613180516,0.994587711,0.466411971,0.427889207,0.958930277,2020-2021,900177,Dooly County School System,Public,Vienna,GA,1316,2020-08-19,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/14/2020,1,1,1
207,305,1301830,13095,Dougherty County,"Albany, GA",10500,N,Dougherty,GEORGIA,GA,29.4,14.2,21180,17.5,17,74.3,0.5,24.3,15.6,17.8,5,4.8,2.8,13.1,4.6,0.732572571,14.6,54.63167326,757.2187825,5238,2.641606942,86,0.009418481,13174,1.5474,1846.258608,311.9199552,3644.191589,277.0447668,0.978669214,0.709646609,0.911811525,0.454313913,0.76758994,0.672397326,0.862782553,0.974530404,2020-2021,900147,Dougherty County School System,Public,Albany,GA,15459,2020-09-28,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,10/28/2020,1,1,1
208,306,1301860,13097,Douglas County,"Atlanta-Sandy Springs-Alpharetta, GA",12060,122,Douglas,GEORGIA,GA,13.1,6.9,26621,12,13.2,58.1,1.7,26.4,11.7,13.1,9.5,3.9,2,4.2,0.9,0.449097575,11,5.708088361,75.40267121,5286,2.641606942,86,0.009418481,13174,1.5474,1383.953751,196.7005076,4694.021433,708.8595156,0.676536135,0.872970392,0.363578478,0.197070996,0.985673352,0.693409742,0.937281121,0.851957975,2020-2021,900293,Douglas County School System,Public,Douglasville,GA,26574,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1/6/2021,1,1,1
